URL,star labels,star percentages
https://fr.trustpilot.com/review/www.cocolis.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '10%', '2%', '1%', '3%']"
https://fr.trustpilot.com/review/dimo-diagnostic.net,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['85%', '10%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/indy.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '10%', '1%', '<1%', '2%']"
https://fr.trustpilot.com/review/otypo.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '8%', '2%', '2%', '4%']"
https://fr.trustpilot.com/review/www.ecocarton.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '11%', '3%', '1%', '<1%']"
https://fr.trustpilot.com/review/www.chacunsoncafe.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['73%', '19%', '5%', '1%', '2%']"
https://fr.trustpilot.com/review/facimprimeur.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '8%', '3%', '2%', '3%']"
https://fr.trustpilot.com/review/www.transfertpress.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['80%', '11%', '3%', '2%', '4%']"
https://fr.trustpilot.com/review/demeclic.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['81%', '15%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/lemagasinduprint.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['75%', '16%', '5%', '2%', '2%']"
https://fr.trustpilot.com/review/lamaisondukakemono.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['83%', '9%', '3%', '2%', '3%']"
https://fr.trustpilot.com/review/www.sharesub.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '8%', '2%', '<1%', '3%']"
https://fr.trustpilot.com/review/tribee.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '9%', '3%', '1%', '3%']"
https://fr.trustpilot.com/review/ma-domiciliation.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['91%', '5%', '<1%', '<1%', '4%']"
https://fr.trustpilot.com/review/axonaut.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['75%', '15%', '5%', '3%', '2%']"
https://fr.trustpilot.com/review/smartobjet.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['69%', '21%', '5%', '2%', '3%']"
https://fr.trustpilot.com/review/apicius-shop.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '8%', '2%', '1%', '3%']"
https://fr.trustpilot.com/review/itg.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['79%', '15%', '2%', '2%', '2%']"
